TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
47	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:56:20	256754.0	256.0null
48	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:5	4/21/2008 7:55:35	210776.0	210.0null
49	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:5	4/21/2008 7:52:31	26006.0	26.0null
50	0	4/21/2008 7:51:28	4/21/2008 7:51:43	4/21/2008 7:51:46	4/21/2008 7:52:10	23483.0	23.0null
51	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:46	4/21/2008 7:52:9	22693.0	22.0null
52	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:46	4/21/2008 7:52:9	22856.0	22.0null
53	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:9	22484.0	22.0null
54	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:45	4/21/2008 7:52:8	22962.0	22.0null
55	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:53	4/21/2008 7:52:24	30922.0	30.0null
56	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:59	4/21/2008 7:55:18	198827.0	198.0null
57	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:9	22292.0	22.0null
58	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:53	4/21/2008 7:52:21	28177.0	28.0null
59	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:1	4/21/2008 7:53:17	75396.0	75.0null
60	0	4/21/2008 7:51:28	4/21/2008 7:51:44	4/21/2008 7:51:53	4/21/2008 7:52:9	15436.0	15.0null
61	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:10	22877.0	22.0null
62	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:52:33	29640.0	29.0null
63	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:0	4/21/2008 7:52:33	33069.0	33.0null
64	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:55:43	219582.0	219.0null
65	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:10	23302.0	23.0null
66	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:8	4/21/2008 7:55:35	207262.0	207.0null
67	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:56	4/21/2008 7:52:47	51652.0	51.0null
68	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:9	22128.0	22.0null
69	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:47	4/21/2008 7:52:10	22685.0	22.0null
70	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:51:48	4/21/2008 7:52:9	21162.0	21.0null
71	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:52:33	29817.0	29.0null
72	0	4/21/2008 7:51:28	4/21/2008 7:51:45	4/21/2008 7:52:3	4/21/2008 7:56:22	258678.0	258.0null
73	0	4/21/2008 7:51:28	4/21/2008 7:51:46	4/21/2008 7:52:3	4/21/2008 7:52:49	45826.0	45.0null
74	0	4/21/2008 7:51:28	4/21/2008 7:51:46	4/21/2008 7:52:3	4/21/2008 7:55:30	206699.0	206.0null
75	0	4/21/2008 7:51:28	4/21/2008 7:51:46	4/21/2008 7:52:5	4/21/2008 7:52:36	31675.0	31.0null
76	0	4/21/2008 7:51:28	4/21/2008 7:51:46	4/21/2008 7:51:49	4/21/2008 7:52:10	21522.0	21.0null
77	0	4/21/2008 7:51:28	4/21/2008 7:51:47	4/21/2008 7:52:5	4/21/2008 7:52:33	28336.0	28.0null
