TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
47	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:33	4/29/2008 0:2:46	13052.0	13.0null
48	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:34	4/29/2008 0:2:49	14608.0	14.0null
49	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:34	4/29/2008 0:2:43	8818.0	8.0null
50	0	4/29/2008 0:2:15	4/29/2008 0:2:30	4/29/2008 0:2:35	4/29/2008 0:2:45	10438.0	10.0null
51	0	4/29/2008 0:2:15	4/29/2008 0:2:30	4/29/2008 0:2:32	4/29/2008 0:2:46	13744.0	13.0null
52	0	4/29/2008 0:2:15	4/29/2008 0:2:30	4/29/2008 0:2:33	4/29/2008 0:2:45	12323.0	12.0null
53	0	4/29/2008 0:2:15	4/29/2008 0:2:30	4/29/2008 0:2:35	4/29/2008 0:2:49	13272.0	13.0null
54	0	4/29/2008 0:2:15	4/29/2008 0:2:30	4/29/2008 0:2:34	4/29/2008 0:2:44	9790.0	9.0null
55	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:35	4/29/2008 0:2:47	11785.0	11.0null
56	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:33	4/29/2008 0:2:39	6753.0	6.0null
57	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:34	4/29/2008 0:2:47	13664.0	13.0null
58	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:37	4/29/2008 0:2:49	12541.0	12.0null
59	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:33	4/29/2008 0:2:46	12711.0	12.0null
60	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:37	4/29/2008 0:2:49	12095.0	12.0null
61	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:37	4/29/2008 0:2:48	11210.0	11.0null
62	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:33	4/29/2008 0:2:40	6927.0	6.0null
63	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:34	4/29/2008 0:2:43	8372.0	8.0null
64	0	4/29/2008 0:2:15	4/29/2008 0:2:31	4/29/2008 0:2:34	4/29/2008 0:2:48	13577.0	13.0null
