TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
0	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:15	4/21/2008 2:25:51	35504.0	35.0null
1	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:15	4/21/2008 2:25:51	35177.0	35.0null
2	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:17	4/21/2008 2:28:33	195945.0	195.0null
3	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:17	4/21/2008 2:25:44	27618.0	27.0null
4	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:15	4/21/2008 2:25:50	34499.0	34.0null
5	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:17	4/21/2008 2:27:37	139798.0	139.0null
6	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:17	4/21/2008 2:25:39	22162.0	22.0null
7	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:15	4/21/2008 2:25:50	34609.0	34.0null
8	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:16	4/21/2008 2:25:46	29704.0	29.0null
9	0	4/21/2008 2:25:2	4/21/2008 2:25:15	4/21/2008 2:25:17	4/21/2008 2:28:54	216533.0	216.0null
10	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:27:52	154306.0	154.0null
11	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:25:39	22131.0	22.0null
12	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:18	4/21/2008 2:27:32	133396.0	133.0null
13	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:16	4/21/2008 2:25:51	35006.0	35.0null
14	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:25:44	27507.0	27.0null
15	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:27:15	117544.0	117.0null
16	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:16	4/21/2008 2:25:51	34116.0	34.0null
17	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:25:39	22011.0	22.0null
18	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:25:50	33127.0	33.0null
19	0	4/21/2008 2:25:2	4/21/2008 2:25:16	4/21/2008 2:25:17	4/21/2008 2:25:44	27114.0	27.0null
20	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:18	4/21/2008 2:27:9	111207.0	111.0null
21	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:17	4/21/2008 2:25:51	34259.0	34.0null
22	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:17	4/21/2008 2:25:43	25751.0	25.0null
23	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:18	4/21/2008 2:27:37	139119.0	139.0null
24	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:17	4/21/2008 2:25:51	34245.0	34.0null
25	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:18	4/21/2008 2:25:46	28200.0	28.0null
26	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:19	4/21/2008 2:27:37	137990.0	137.0null
27	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:17	4/21/2008 2:25:51	33407.0	33.0null
28	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:18	4/21/2008 2:25:49	31108.0	31.0null
29	0	4/21/2008 2:25:2	4/21/2008 2:25:17	4/21/2008 2:25:19	4/21/2008 2:27:44	145496.0	145.0null
30	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:18	4/21/2008 2:25:48	29477.0	29.0null
31	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:26	4/21/2008 2:25:49	22572.0	22.0null
32	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:20	4/21/2008 2:27:19	118471.0	118.0null
33	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:30	4/21/2008 2:25:49	19204.0	19.0null
34	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:20	4/21/2008 2:27:29	128984.0	128.0null
35	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:31	4/21/2008 2:25:54	23457.0	23.0null
36	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:20	4/21/2008 2:28:43	203094.0	203.0null
37	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:18	4/21/2008 2:25:46	27442.0	27.0null
38	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:30	4/21/2008 2:25:54	24638.0	24.0null
39	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:21	4/21/2008 2:28:43	202240.0	202.0null
40	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:18	4/21/2008 2:25:48	29640.0	29.0null
41	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:19	4/21/2008 2:25:49	29889.0	29.0null
42	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:31	4/21/2008 2:25:54	23609.0	23.0null
43	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:19	4/21/2008 2:25:42	23558.0	23.0null
44	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:22	4/21/2008 2:28:54	211626.0	211.0null
45	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:19	4/21/2008 2:25:48	29887.0	29.0null
46	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:30	4/21/2008 2:25:49	19342.0	19.0null
47	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:20	4/21/2008 2:28:9	168486.0	168.0null
48	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:18	4/21/2008 2:25:48	29811.0	29.0null
49	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:31	4/21/2008 2:26:13	42291.0	42.0null
50	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:20	4/21/2008 2:25:49	29348.0	29.0null
51	0	4/21/2008 2:25:3	4/21/2008 2:25:18	4/21/2008 2:25:24	4/21/2008 2:29:29	245373.0	245.0null
52	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:35	4/21/2008 2:26:18	42579.0	42.0null
53	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:24	4/21/2008 2:27:9	105253.0	105.0null
54	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:20	4/21/2008 2:25:49	28852.0	28.0null
55	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:31	4/21/2008 2:26:18	46968.0	46.0null
56	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:21	4/21/2008 2:28:46	204866.0	204.0null
57	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:20	4/21/2008 2:25:49	28979.0	28.0null
58	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:31	4/21/2008 2:25:49	18130.0	18.0null
59	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:24	4/21/2008 2:27:44	139768.0	139.0null
60	0	4/21/2008 2:25:3	4/21/2008 2:25:19	4/21/2008 2:25:22	4/21/2008 2:25:51	28290.0	28.0null
61	0	4/21/2008 2:25:3	4/21/2008 2:25:20	4/21/2008 2:25:30	4/21/2008 2:25:55	24945.0	24.0null
62	0	4/21/2008 2:25:3	4/21/2008 2:25:20	4/21/2008 2:25:24	4/21/2008 2:27:37	133017.0	133.0null
63	0	4/21/2008 2:25:3	4/21/2008 2:25:20	4/21/2008 2:25:21	4/21/2008 2:25:50	28786.0	28.0null
